Person ID,Inscription ID,Role,Notes
unc_kl_m,514,,
unc_arist,514,,
kletos_epigonou,514,,
dionysios_glaukou,514,,
kl_nikephoros,514,,
megalinos_aphrodisiou,514,,
khaireas_diogenous,514,,
aristoboulos_zosimou,514,,
fl_stephanos,514,,
ai_markos,514,,
kl_serapion,514,,
iou_kaikilianos,514,,
iou_kaikilianos,515,,
iou_kaikilianos,516,,
timokrates_kaprodorou,514,,
eisidoros_eisidorou,514,,
thrasyboulos_artemonos,514,,
euripides_preimou,514,,
epitunkhanon_epitunkhanonos,514,,
onesimos_eiphikratous,514,,
p_herennios_apolloniou,514,,
ti_kl_sospis_lysiadou_2,514,,
ti_kl_sospis_lysiadou_2,622,,
unc_aim_1,514,,
unc_aim_2,514,,
titios_molossios_alopekethen,514,,
khryseros_khryserou,514,,
dephilos_khareisiou,514,,
nikomakhos_mikomakhou,514,,
deiphilos_deiphilou,514,,
hygeinos_arkhimhdous,514,,
nikostratos_nikiou,514,,
emperor_septimius_severus,517,Honorand,
emperor_septimius_severus,518,Honorand,
emperor_septimius_severus,630,,
iul_domna,518,Honorand,
iul_domna,519,,
kl_themistoklea,520,Honorand,
kl_philippos,520,,
kl_philippos,521,,
kl_philippos,632,,
kl_menandra_1,521,Honorand,
kl_menandra_1,632,,
nikostrate_meneou,522,Honorand,
g_kasios_semakhidai,522,,
ail_epilampsis_gelotos,523,Honorand,
ail_gelo_1,523,,
diokles,523,,
ail_alexandros,523,,
ail_ardys,523,,
ail_kallikrates,523,,
ail_alexandros_2,523,,
ail_gelo_2,523,,
p_pom_hegios_1,523,,
p_pom_hegios_2,523,Sponsor,
pom_epilampsis,523,,
t_fl_leosthenes_2,524,Sponsor,
unc_daughter_of_t_fl_leosthenes_2,524,Honorand,
ail_sossianos_prospaltios,525,,
glaukos,526,,
hagne,526,,
threption,526,,
tereus,526,,
hermione_1,526,,
eutykhides,526,,
euodos,526,,
aiskhylos,526,,
zoeilos,526,,
neokleides,527,,
iun_agathopodos,528,Honorand,
demetrios_apolloniou,529,Honorand,
alkamenes_pyrphoros,530,,
unc_exegete_of_eumolpidai_2,531,,
aristaios,532,,
unc_ti_kl_lianou,533,Honorand,
unc_mmios,534,,
q_fronto_marathonios,535,,
lolliane_glaukou,536,Honorand,
unc_kl_2,543,Honorand,
unc_exegete,544,Honorand,
unc_exegete_of_eumolpidai_3,531,Honorand,
unc_exegete_of_eumolpidai_3,545,Honorand,
unc_praxagoras_of_melite,546,Honorand,
unc_epaphroditas,548,Honorand,
unc_polliona,551,Honorand,
unc_child_of_nummius,558,Honorand,
athenagoras,559,,
t_fl_ateimetos_peiraieus,587,Honorand,
t_fl_agathonos_peiraieus,587,,
onesime_papiou,587,Sponsor,
oapiou_onesimou,587,,
onesimou_besaieus,587,,
sabeiniane_hamillo,588,Honorand,
thoinos,589,,
ariston,589,,
andreas,589,,
unc_daughter_of_pythokhrestos_exegete,590,Honorand,
herennios,590,,
unc_daughter_of_kyklobols,591,Honorand,
unc_memmius,592,,
unc_ompeia,593,Honorand,
unc_emperor_7,597,Honorand,
unc_p_ail,599,Honorand,
apollonios_sphettios,600,,
lysiades,602,Honorand,
p_ail_herennia_1,621,Honorand,
p_ail_apollonios,621,Sponsor,
p_ail_herennia_2,621,Sponsor,
konon,621,,
konon,648,,
kallimakhos_2,621,,
p_ail_dionysos,621,,
unc_grandson_of_ti_kl_sospis,622,Honorand,
ti_kl_lysiades_leonidou,622,,
ti_kl_leonides_lysiadou,622,,
sekoundos_the_eumolpid,623,Honorand,
attikos_eudoxou,623,,
attikos_eudoxou,624,,
m_aur_prosdektos_pistokrates,624,Honorand,
m_gavius_gallicanus,625,Honorand,
m_gavius_scyillos_1,625,,
m_gavius_skyillos_2,625,,
p_perennios_ptolemaios,626,,
p_perennios_ptolemaios,627,Honorand,
xenagoras_2_xenagorou,628,Honorand,
xenagoras_1,628,Sponsor,
unc_praxagora,628,Sponsor,
licinius_kallistomakhos,629,Sponsor,
kl_kallistomakhos,629,Honorand,
emperor_carracalla,630,,
emperor_geta,630,,
fl_plautianos,630,Honorand,
hierophant_apollinarios,631,Honorand,
kl_menandra_2,632,Honorand,
roupheina,633,Honorand,
iul_mousonios,633,,
iul_hierokeryx,633,,
ptolemais_serenou_gaza,634,Honorand,
aur_magna_1,635,Honorand,
hermione_2,635,,
aur_epaphrodeitos_asklepiadou,635,Sponsor,
aur_magna_2_magnou,635,Sponsor,
aur_paramona_paramonou,636,Honorand,
aur_deidameia,636,,
apollonios_2_apolloniou,637a,Honorand,
apollonios_2_apolloniou,637b,Honorand,
arabianus,638,,
eutykhos,638,,
dryantianos,638,,
honoratiane_polykharmis_polykharmou,639,Honorand,
ail_praxagoras,639,,
kl_philippos,639,,
kl_themistoklea,639,,
honoratiane_polykharmis_polykharmou,648,,
unc_fabius,640,Honorand,
flavia_prokleiane,640,,
fabius_demetrios,640,,
fabius_aemelianos,640,,
fabius_proclus,640,,
eunnike_kallaiskhros,641,Honorand,
sedata,641,,
polyzelos_xeinagorou,642,,
hermippis,642,,
m_ulpius_eubiotos_leuros_gargettios,644,Honorand,
casianus_hierokeryx,645,Honorand,
t_fl_glaukos_glaukou,646,Honorand,
emperor_maximinus,647,Honorand,
iun_themistokles_polykharmidos,648,Honorand,
perikles,648,,
alexander_the_great,648,,
unc_hierophant_1,649,Honorand,
unc_daughter_of_glaukos,649,,
nikagoras_hierokeryx,650,Honorand,
plutarch,650,,
sextus,650,,
dionysia_hermippidos,651,,
unc_relative_of_orator,652,,
t_fl_altar_priest,653,Honorand,
aerarius_sospatros,654,Honorand,
damoteles,654,,
thisbianos,654,,
emperor_gallienus,655,,
iun_minucianus,655,,
p_ail_herennius_dexippos,656,Honorand,
pyrros,658,,
roupheinos,658,,
eunike_kallaiskhrou,659,Honorand,
thaleia,659,,
kallaiskhros,659,,
eisaios_3,659,,
isidote,659,,
zoilos,659,,
hierophant_glaukos,659,,
emperor_diocletian,660,,
emperor_maximianus,660,Honorand,
unc_proconsul,661,Honorand,
unc_ptolemaios,662,,
unc_exegete_of_eumolpidai_4,663,Honorand,
unc_gn,665,,
epigonos,666,,
artemisia,669,,
unc_emperor_8,671,,
