Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Mix of Abbreviation Styles,,647,398,Herm Dedicated to the Emperor Maximinus,Base,Dedication,,235.5,1,0.0300,,Greek,79,44,28,15,0,1,1,0,1,0,1,647,235,False,236,False,,,
Removed from Site,,648,399,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Greek,168,144,39,32,0,2,5,0,1,5,0,648,235,False,245,False,,,
Office(s) of Relative(s),,648,399,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Greek,168,144,39,32,0,2,5,0,1,5,0,648,235,False,245,False,,,
Beyond Immediate Family,,648,399,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Greek,168,144,39,32,0,2,5,0,1,5,0,648,235,False,245,False,,,
Famous Decent,,648,399,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Greek,168,144,39,32,0,2,5,0,1,5,0,648,235,False,245,False,,,
Bronze Cuttings,,648,399,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Greek,168,144,39,32,0,2,5,0,1,5,0,648,235,False,245,False,,,
Front of Telesterion,,649,400,Statue Base for an Unknown Hierophant,Base,Dedication,Before the Telestrion,240.0,10,0.0180,,Greek,321,288,67,55,0,3,2,0,1,2,0,649,235,False,245,False,,,
Oversized Cuttings,,650,401,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,Greek,89,87,19,18,0,3,3,0,1,1,0,650,245,False,255,False,,,
Front of Telesterion,,650,401,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,Greek,89,87,19,18,0,3,3,0,1,1,0,650,245,False,255,False,,,
Bronze Cuttings,,650,401,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,Greek,89,87,19,18,0,3,3,0,1,1,0,650,245,False,255,False,,,
Famous Decent,,650,401,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,Greek,89,87,19,18,0,3,3,0,1,1,0,650,245,False,255,False,,,
Beyond Immediate Family,,650,401,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,Greek,89,87,19,18,0,3,3,0,1,1,0,650,245,False,255,False,,,
Office(s) of Relative(s),,653,404,"Statue Base for a Unknown T. Fl., Altar-Priest",Column/Herm,Dedication,,250.0,50,0.0250,,Greek,148,93,58,32,0,3,1,0,1,1,0,653,225,False,275,True,,,
Beyond Immediate Family,,653,404,"Statue Base for a Unknown T. Fl., Altar-Priest",Column/Herm,Dedication,,250.0,50,0.0250,,Greek,148,93,58,32,0,3,1,0,1,1,0,653,225,False,275,True,,,
No Abbreviation,,653,404,"Statue Base for a Unknown T. Fl., Altar-Priest",Column/Herm,Dedication,,250.0,50,0.0250,,Greek,148,93,58,32,0,3,1,0,1,1,0,653,225,False,275,True,,,
"At Site, Moved in Modernity",,654,405,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,,Greek,79,77,16,15,3,1,3,3,1,3,0,654,250,False,300,True,,,
Office(s) of Relative(s),,654,405,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,,Greek,79,77,16,15,3,1,3,3,1,3,0,654,250,False,300,True,,,
Beyond Immediate Family,,654,405,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,,Greek,79,77,16,15,3,1,3,3,1,3,0,654,250,False,300,True,,,
No Abbreviation,,655,406,Letter of the Emperor Gallienus to the Athenians Concerning the Mysteries,Base,Epistle,,265.0,0,0.0180,True,Greek,638,276,234,85,3,5,2,0,0,0,2,655,265,False,265,False,,,
Non-Standard Abbreviation,,656,407,"Statue Base for P. Ael. Herennius Dexippos of Hermos, Priest of the Panages",Base,Dedication,North of the Telesterion,270.0,10,0.0250,,Greek,126,61,42,24,0,2,1,0,1,1,0,656,265,True,275,True,,,
Path to Telesterion,,656,407,"Statue Base for P. Ael. Herennius Dexippos of Hermos, Priest of the Panages",Base,Dedication,North of the Telesterion,270.0,10,0.0250,,Greek,126,61,42,24,0,2,1,0,1,1,0,656,265,True,275,True,,,
Front of Telesterion,,659,410,Statue Base for Eunike Kallaiskhrou Marathoniou,Base,Verse,Before the Telestrion,287.5,25,0.0100,,Greek,480,432,108,92,0,1,7,0,1,7,0,659,275,False,300,False,,,
Standard Abbreviation,,660,411,Statue Base for the Emperors Diocletian and Maximianus,Base,Dedication,,295.5,19,0.0380,,Greek,129,15,32,10,1,1,2,1,1,0,2,660,286,False,305,False,,,
Front of Telesterion,,661,412,Statue Base for an Unknown Proconsul,Base,Dedication,Before the Telestrion,250.0,100,0.0180,,Greek,199,119,56,30,1,1,1,0,1,0,1,661,200,False,300,False,,,
"At Site, Moved in Modernity",,662,413,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,250.0,100,0.0250,,Greek,92,30,31,17,1,0,1,1,0,1,0,662,200,True,300,True,,,
Front of Telesterion,,662,413,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,250.0,100,0.0250,,Greek,92,30,31,17,1,0,1,1,0,1,0,662,200,True,300,True,,,
Removed from Site,,666,417,Base Dedicated by an Unknown Party,Base,Dedication,,150.5,299,,,Greek,70,38,24,12,0,1,1,0,0,1,0,666,1,False,300,False,,,
Missing,,668,419,Altar Dedicated to Kourotrophos,Base,Dedication,,150.5,299,,,Greek,11,5,6,4,0,0,0,0,0,0,0,668,1,False,300,False,,,
Missing,,669,420,Altar Dedicated to an Unknown Figure,Base,Dedication,,150.5,299,,,Greek,30,18,17,10,0,0,1,0,0,1,0,669,1,False,300,False,,,
Missing,,670,421,Base(?) Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,,,Greek,10,7,5,4,0,0,0,0,0,0,0,670,1,False,300,False,,,
Missing,,671,422,Base(?) Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,,,Greek,23,16,12,8,0,1,1,0,0,0,1,671,1,False,300,False,,,
Missing,,672,423,Fragmentary Inscription,Base,Other/Uncertain,,150.5,299,,,Greek,38,27,12,8,0,0,0,0,0,0,0,672,1,False,300,False,,,
Missing,,673,424,Base Honoring an Unknown Individual,Base,Other/Uncertain,,150.5,299,,,Greek,42,12,15,6,0,0,0,0,0,0,0,673,1,False,300,False,,,
Missing,,674,425,Fragmentary Inscription,Base,Other/Uncertain,,150.5,299,,,Greek,16,16,7,7,0,0,0,0,0,0,0,674,1,False,300,False,,,
No Abbreviation,,489,,Declaration of the Prefect Severus Concerning an Endowment,Base,Other/Uncertain,,169.5,1,,,Greek,0,0,1,1,1,0,0,0,0,0,0,698,169,False,170,True,,,
No Abbreviation,,489,,Decision of a Synhedrion,Base,Other/Uncertain,,169.5,1,,,Greek,0,0,1,1,1,25,2,0,0,1,1,697,169,False,170,True,,,
