"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2389,"Kl. Philippos",187.5,350.0,"Person","","Athenian","Male","TRUE","Praxagorid","Claudii of Melite","Melite"
2289,"L. Calpurnius Piso",155,350.0,"Person","","Roman","Male","FALSE","","",""
2400,"Ail Gelo II",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2417,"Iun. Agathopodos",150.5,350.0,"Person","","Athenian","Male","TRUE","","","Marathon"
2478,"Roupheina",217.5,350.0,"Person","","Roman","Female","FALSE","","",""
2487,"Aur. Deidameia",217,350.0,"Person","","Athenian","Female","TRUE","","","Lamptrai"
2367,"Kl. Serapion",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2519,"Thisbianos",275,350.0,"Person","","Athenian","Male","FALSE","","",""
2332,"M. Iul. Praxis",173.5,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2440,"Thoinos",250.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2469,"Xenagoras I",313,350.0,"Person","","Athenian","Male","FALSE","Praxagorid","Claudii of Melite","Melite"
2386,"Emperor Septimius Severus",196.5,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
2032,"[?] Daduch from Hagnous",-40,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2405,"Daughter of T. Fl. Leosthenes II",187.5,350.0,"Person","","Athenian","Female","TRUE","","","Paiania"
2177,"Kl. [?] Father of Seilianos",97.5,350.0,"Person","","Athenian","Male","TRUE","","",""
2441,"Ariston",250.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2176,"G. Kl. Seilianos Polykritos",97.5,350.0,"Person","","Athenian","Male","TRUE","","",""
2349,"Aiolion Phlyeos",191,350.0,"Person","","Athenian","Male","TRUE","","","Phlya"
2088,"Euphron Euphrontos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2308,"Domitia Laodameia",167,350.0,"Person","","Athenian","Female","TRUE","","",""
2174,"T. Kl. Lysiades Patronos",97.5,350.0,"Person","","Athenian","Male","TRUE","","","Melite"
2234,"Athenaios Perikonikos",119.5,350.0,"Person","","Athenian","Male","FALSE","","","Phlya"
2285,"Ti. Kl. Leonides",165,350.0,"Person","","Athenian","Male","TRUE","","","Melite"
2085,"Dionysodoros Deiradiotou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Deiradiotai"
2390,"Kl. Menandra",187.5,350.0,"Person","","Athenian","Female","TRUE","Praxagorid","Claudii of Melite","Melite"
2148,"Apollonios Seilonos",50,350.0,"Person","","Athenian","Male","FALSE","","","Melite"
