ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2364,Aristoboulos Zosimou,Athens,Male,TRUE,FALSE,,,,,,Aristoboulos,Zosimou,,,FALSE,,,,,
2365,Fl. Stephanos,Athens,Male,TRUE,TRUE,,,,Flavius,,Stephanos,,,,FALSE,,,,,
2366,Ai. Markos,Athens,Male,TRUE,TRUE,,,,Aelius,,Markos,,,,FALSE,,,,,
2367,Kl. Serapion,Athens,Male,TRUE,TRUE,,,,Claudius,,Serapion,,,,FALSE,,,,,
2368,Iou. Kaikilianos,Athens,Male,TRUE,TRUE,,,,Iulius,,Kaikilianos,,,,FALSE,,,,,
2369,Timokrates Kaprodorou,Athens,Male,TRUE,FALSE,,,,,,Timokrates,Kaprodorou,,,FALSE,,,,,
2370,Eisidoros Eisidorou,Athens,Male,TRUE,FALSE,,,,,,Eisidoros,Eisidorou,,,FALSE,,,,,
2371,Thrasyboulos Artemonos,Athens,Male,TRUE,FALSE,,,,,,Thrasyboulos,Artemonos,,,FALSE,,,,,
2372,Euripides Preimou,Athens,Male,TRUE,FALSE,,,,,,Euripides,Preimou,,,FALSE,,,,,
2373,Epitunkhanon Epitunkhanonos,Athens,Male,TRUE,FALSE,,,,,,Epitunkhanon,Epitunkhanonos,,,FALSE,,,,,
2374,Onesimos Eiphikratous,Athens,Male,TRUE,FALSE,,,,,,Onesimos,Eiphikratous,,,FALSE,,,,,
2375,P. Herennios Apolloniou,Athens,Male,TRUE,TRUE,TBD,,Publius,Herennius,,,Apolloniou,,,FALSE,,,,,
2376,Ti. Kl. Sospis Lysiadou,Athens,Male,TRUE,TRUE,Leonid,Claudii of Melite,Tiberius,Claudius,,Sospis,Lysiadou,Melite,,FALSE,Claudius 158,,,,"Husband of Kl. Philippe, together they form the Demostratid-Leonid bridge. They sire T. Kl. Lysiades (159), and T. Kl. Demostratos (160), and T. Kl. Leonides (161), and Kl. Philippe (162)"
2377,Aim[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2378,Aim[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2379,Titios Molossios Alopekethen,Athens,Male,TRUE,TRUE,,,,Titius,,Molossios,,,,FALSE,,,,,
2380,Khryseros Khryserou,Athens,Male,TRUE,FALSE,,,,,,Khryseros,Khryserou,,,FALSE,,,,,
2381,Dephilos Khareisiou,Athens,Male,TRUE,FALSE,,,,,,Dephilos,Khareisiou,,,FALSE,,,,,
2382,Nikomakhos Mikomakhou,Athens,Male,TRUE,FALSE,,,,,,Nikomakhos,Mikomakhou,,,FALSE,,,,,
2383,Deiphilos Deiphilou,Athens,Male,TRUE,FALSE,,,,,,Deiphilos,Deiphilou,,,FALSE,,,,,
2384,Hygeinos Arkhimhdous,Athens,Male,TRUE,FALSE,,,,,,Hygeinos,Arkhimhdous,,,FALSE,,,,,
2385,Nikostratos Nikiou,Athens,Male,TRUE,FALSE,,,,,,Nikostratos,Nikiou,,,FALSE,,,,,
2386,Emperor Septimius Severus,Rome,Male,FALSE,TRUE,Severan,Imperial,,Septimius,Severus,,,,,FALSE,,,,,
